Id,Name,Description,Grade,Add,Zipcode,Region,Town,Tel,Fax,Gov,Website,Picture1,Picdescribe1,Picture2,Picdescribe2,Picture3,Picdescribe3,Px,Py,Class,Map,Spec,Serviceinfo,Parkinginfo,TotalNumberofRooms,LowestPrice,CeilingPrice,TaiwanHost,IndustryEmail,TotalNumberofPeople,AccessibilityRooms,PublicToilets,LiftingEquipment,ParkingSpace
C4_A15010000H_000034,旅聚居青年旅舍,位於高雄市的旅館,,高雄市新興區中山一路117號6樓,800,高雄市,新興區,886-7-2851231,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/256842.JPG?v=20250702,六人房型,https://taiwan.taiwanstay.net.tw/twpic/256843.JPG?v=20250702,4人房型,https://taiwan.taiwanstay.net.tw/twpic/256844.JPG?v=20250702,小套房,120.301237,22.631603,3,,,"無線網路,自助洗衣(收費),上網電腦(免費),,,,",車位:小客車0輛、機車0輛、大客車0輛,12,3500,6000,0,tripggkh@gmail.com,60,0,,,0
C4_A15010000H_000037,泰雅皇宮,泰雅渡假村位於台灣南投縣國姓鄉，是以台灣少數民族-泰雅族文化為經營主軸，園區內擁有許多象徵泰雅族文化特色及早期部落的建築提供遊客參觀，還有精彩的少數民族舞蹈表演。除了泰雅文化特色之外，更結合遊憩、住宿、溫泉、生態、露營、烤肉等，因此擁有全方位渡假遊樂區的美稱。,,南投縣仁愛鄉互助村清風路81號,546,南投縣,仁愛鄉,886-49-2461311,886-49-2461347、049,A15010000H,http://www.atayal.com.tw,https://taiwan.taiwanstay.net.tw/twpic/276325.jpg?v=20250702,泰雅皇宮飯店住宿區-皇家湯屋,https://taiwan.taiwanstay.net.tw/twpic/276326.jpg?v=20250702,泰雅皇宮飯店住宿區-皇家湯屋廁所,https://taiwan.taiwanstay.net.tw/twpic/276327.jpg?v=20250702,泰雅皇宮飯店住宿區-尊爵湯屋,120.944563,24.069499,3,,雙人房9800;,"餐廳,會議場所,咖啡廳,酒吧,商店,無線網路,國民旅遊卡,停車場,溫泉設施,無障礙客房,,,,導覽解說,哺乳室,AED,寵物友善旅宿,,,自行車友善旅宿",車位:小客車600輛、機車0輛、大客車0輛,112,9800,60000,0,t999866@atayal.com.tw,438,0,,,600
C4_A15010000H_000039,柯林綠溪地生態農莊,位於宜蘭縣的民宿,,宜蘭縣冬山鄉安農八路58號,269,宜蘭縣,冬山鄉,886-965-068058,,A15010000H,,,,,,,,121.737237,24.690546,4,,,,車位:小客車0輛、機車0輛、大客車0輛,5,12000,12000,0,stoneytaiwan@gmail.com,20,0,0,0,0
C4_A15010000H_000040,瑞穗風情民宿,位於花蓮縣的民宿,,花蓮縣瑞穗鄉瑞美村中興路61之1號,978,花蓮縣,瑞穗鄉,886-975-131312,,A15010000H,,,,,,,,121.378015,23.494499,4,,,,車位:小客車0輛、機車0輛、大客車0輛,5,6000,6000,0,,14,0,0,0,0
C4_A15010000H_000044,小巷窄,位於臺南市的民宿,,臺南市中西區三合里忠孝街98巷8號,700,臺南市,中西區,886-913-510830,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/267411.jpg?v=20250702,小巷窄民宿門面照,https://taiwan.taiwanstay.net.tw/twpic/267412.jpg?v=20250702,小巷窄民宿一樓客廳,https://taiwan.taiwanstay.net.tw/twpic/267413.jpg?v=20250702,小巷窄民宿一樓廁所,120.197455,22.999962,4,,,"無線網路,國民旅遊卡,,,,",車位:小客車0輛、機車0輛、大客車0輛,1,2800,2800,0,sonice0601@gmail.com,3,0,0,0,0
C4_A15010000H_000045,洛碁大飯店忠孝館,台北，國際交流的重要驛站，沈澱了各種文化基因，充滿了自由人文氣息，像是手上的咖啡，醇厚的令人嚮往。洛碁大飯店，第一個在台北市創立的大型連鎖飯店品牌，在捷運旁、熱鬧的西門町、台北車站、金融商圈等地，都能找到洛碁大飯店。堅持以平實的價格、多元的選擇及貼心的服務，提供每位旅客充電與休憩的地方，不論是您有意的安排或者偶然的巧遇，我們都期待您的來訪，一起在這美麗而多變的土地寫下屬於您的台北故事。,,臺北市大安區忠孝東路四段180號1樓、4樓至14樓,106,臺北市,大安區,886-2-27116869,886-2-27115518,A15010000H,http://zhongxiao.greenworldhotels.com,https://taiwan.taiwanstay.net.tw/twpic/92202.jpg?v=20250702,標準雙床房(無窗)－無障礙空間,https://taiwan.taiwanstay.net.tw/twpic/92203.jpg?v=20250702,標準雙床房(無窗)－無障礙空間-浴室,https://taiwan.taiwanstay.net.tw/twpic/92375.jpg?v=20250702,,121.542774,25.041256,3,,雙人房10000;單人房10000;單人房(無障礙客房)7500;雙人房10000;,"餐廳,會議場所,無線網路,國民旅遊卡,停車場,無障礙客房,自助洗衣(收費),上網電腦(免費),,,,洗衣服務,郵電服務,貴重物品保管專櫃,接送服務,AED,,,自行車友善旅宿",車位:小客車35輛、機車0輛、大客車0輛,150,3000,28000,0,zhongxiao@greenworldhotels.com,340,0,,,35
C4_A15010000H_000046,瑚岩美術館民宿,位於屏東縣的民宿,,屏東縣琉球鄉中山路23號,929,屏東縣,琉球鄉,886-8-8611092,,A15010000H,http://www.corail23.com/,https://taiwan.taiwanstay.net.tw/twpic/6677.png?v=20250702,,,,,,120.373558,22.345494,4,,單人房4200;單人房4200;,自行車友善旅宿,車位:小客車0輛、機車0輛、大客車0輛,4,4200,4200,0,larochecorail23@gmail.com,8,0,,,0
C4_A15010000H_000047,得恩谷の民宿,高雄市合法民宿｜石板屋｜茂林部落｜生態｜魯凱族｜紫斑蝶｜,,高雄市茂林區茂林里6鄰138號,851,高雄市,茂林區,886-989-370885,,A15010000H,http://deengorge.com/,https://taiwan.taiwanstay.net.tw/twpic/261094.jpeg?v=20250702,外觀,https://taiwan.taiwanstay.net.tw/twpic/265490.jpg?v=20250702,二人房,https://taiwan.taiwanstay.net.tw/twpic/265493.jpg?v=20250702,園區天然溪水,120.675734,22.896991,4,,套房4000;,"餐廳,咖啡廳,無線網路,停車場,高齡房,,,,行動支付,體驗活動,寵物友善旅宿,,,自行車友善旅宿",車位:小客車0輛、機車0輛、大客車0輛,5,4000,5000,1,svonvong2017@gmail.com,38,0,,,0
C4_A15010000H_000050,奇巧民宿,位於花蓮縣的民宿,,花蓮縣富里鄉竹田村富田39-3號,983,花蓮縣,富里鄉,886-3-8821106,886-3-8821825,A15010000H,http://www.netete.com/qiqiao,,,,,,,121.281821,23.211310,4,,,,車位:小客車5輛、機車0輛、大客車0輛,3,2000,3000,0,,10,0,,,5
C4_A15010000H_000051,朝昔廬客棧民宿,客棧主人本著對先人運用真材實料，以及融入老師傅心血和感情一刀一斧，純手工製作器物的著迷與熱愛於2007年7月12日創立 [朝昔廬]。朝昔廬古玩真藏不盡，與王口元廟厝述說無窮，就是本店朝昔廬的詮釋。朝昔加部首就是[廟厝]，因本店內外獨特的視覺空間都是運用古廟及古厝遺留下來的器物裝置而成，把先人遺留的寶貴文化資產透過巧思的營造，讓他的生命再延續，更融入生活裡面。人文飲食更具承襲澎湖人海風的堅持，料理出一道道令人懷念的滋味。而行腳住宿位於澎湖本島的中心點。靠近海邊潮間帶，房間寬敞舒適延伸寬大的露臺，180渡海景映入眼簾，讓人美不勝收。,,澎湖縣馬公市安宅里宅腳嶼200號,880,澎湖縣,湖西鄉,886-6-9210750,886-6-9221367,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/10457.jpg?v=20250702,外觀,https://taiwan.taiwanstay.net.tw/twpic/27319.jpg?v=20250702,大廳,https://taiwan.taiwanstay.net.tw/twpic/29233.jpg?v=20250702,公共設施,119.606725,23.582509,4,,套房4800;雙人房2800;雙人房2800;套房4000;,"停車場,有線網路,國民旅遊卡,,,導覽解說,體驗活動,",車位:小客車0輛、機車0輛、大客車0輛,4,2800,4800,0,,14,0,,,0
C4_A15010000H_000052,三和大旅社,位於彰化縣的旅館,,彰化縣彰化市永興街96巷31號,500,彰化縣,彰化市,886-4-7228221,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/264713.jpg?v=20250702,大廳,https://taiwan.taiwanstay.net.tw/twpic/264716.jpg?v=20250702,外觀,https://taiwan.taiwanstay.net.tw/twpic/264717.jpg?v=20250702,客房,120.538823,24.080139,3,,套房1000;雙人房1000;雙人房1000;套房1000;套房1000;套房1000;,,車位:小客車0輛、機車0輛、大客車0輛,20,2000,150000,0,,44,0,,,0
C4_A15010000H_000054,富泉大飯店,位於宜蘭縣的礁溪溫泉旅館，在台九線上，距離火車站及客運站都很近，交通方便。至湯圍溝公園.  逛街.  用餐都很方便。有停車場，因車位有限，採先到先停，停滿為止，無預約保留。可攜帶寵物入住，一隻酌收300元清潔費(限定樓層)。,,宜蘭縣礁溪鄉礁溪路五段93號1-4樓,262,宜蘭縣,礁溪鄉,886-914-033392,886-3-9886568,A15010000H,,,,,,,,121.774057,24.828908,3,,,"無線網路,國民旅遊卡,停車場,,,寵物友善旅宿,",車位:小客車0輛、機車0輛、大客車0輛,15,3080,6200,0,fc@kellyhotel.com.tw,53,0,,,0
C4_A15010000H_000055,風歌小棧民宿,位於南投縣的民宿,,南投縣埔里鎮牛眠里2鄰內埔路27號,545,南投縣,埔里鎮,886-49-2981098,886-49-2986068,A15010000H,,,,,,,,120.987549,23.986190,4,,,,車位:小客車0輛、機車0輛、大客車0輛,5,5500,8800,0,billson.lin@gmail.com,16,0,,,0
C4_A15010000H_000057,稻香亭民宿,位於南投縣的民宿,,南投縣魚池鄉大林村金天巷11號,555,南投縣,魚池鄉,886-49-2896915,886-49-2898563,A15010000H,,,,,,,,120.941334,23.874514,4,,,自行車友善旅宿,車位:小客車0輛、機車0輛、大客車0輛,5,1500,2500,0,chenlijoy@gmail.com,16,0,,,0
C4_A15010000H_000058,迪噢叢林旅宿,迪噢叢林旅宿 The Jungle House,,屏東縣恆春鎮龍泉路3巷10號,946,屏東縣,恆春鎮,886-988-576662,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/108499.JPG?v=20250702,,https://taiwan.taiwanstay.net.tw/twpic/108507.jpg?v=20250702,,https://taiwan.taiwanstay.net.tw/twpic/108505.jpg?v=20250702,,120.740065,21.987644,4,,,"無線網路,國民旅遊卡,停車場,溫泉設施,,,,寵物友善旅宿,,,自行車友善旅宿",車位:小客車0輛、機車0輛、大客車0輛,5,3800,6000,0,,22,0,,,0
C4_A15010000H_000063,杉林溪主題會館,主題會館以經濟溫馨的明亮設計為主，設有 227 間客房，擁有健身設備、KTV等休閒設施。餐廳提供山珍野味的團體合菜、宴席、散客套餐客飯及素食，豐富美味的佳餚，不論是團體或個人，都會是最經濟實惠的聚餐好選擇。,,南投縣竹山鎮大鞍里溪山路6號,557,南投縣,竹山鎮,886-49-2611211,886-49-2611216,A15010000H,https://www.goto307.com.tw,https://taiwan.taiwanstay.net.tw/twpic/5377.jpg?v=20250702,主題會館外觀,https://taiwan.taiwanstay.net.tw/twpic/43794.jpg?v=20250702,典雅雙人房,https://taiwan.taiwanstay.net.tw/twpic/27047.jpg?v=20250702,典雅四人房,120.792122,23.639695,3,,雙人房(無障礙客房)4400;,"餐廳,會議場所,咖啡廳,商店,無線網路,國民旅遊卡,停車場,高齡房,無障礙客房,自助洗衣(收費),,,,行動支付,導覽解說,體驗活動,哺乳室,AED,,",車位:小客車0輛、機車0輛、大客車0輛,261,4400,10600,0,sun.ls@msa.hinet.net,706,0,,,0
C4_A15010000H_000064,摩天海灣商旅,來個高雄輕旅行住宿我們摩天海灣位於三多商圈捷運站正對面離高雄展覽館走過去差不多10-15分有配合自費的停車場(1天150-250元)可以自由進出到退房數量有限~房間有獨立景觀附近有興中文橫夜市走過去10分鐘自強夜市走過去15分漫遊港灣都會，尋找屬於你我的幸福覓境繽紛高雄，享樂高雄來到高雄市，繁華的熱鬧都會，多處高樓大廈及藝術氣息的散發，更於捷運交通運輸通車後，紅與橘雙線更將多處的熱門景點作串聯，充滿多元化的旅遊型態，更成功打造，兼具人文教育的藝文結合。,,高雄市前鎮區新光路21號21樓之7至12,806,高雄市,前鎮區,886-7-5366227,,A15010000H,https://www.sunshinegarden.com.tw/products-21.html,https://taiwan.taiwanstay.net.tw/twpic/170183.jpg?v=20250702,2107,,,,,120.304611,22.611582,3,,,"無線網路,自助洗衣(收費),,,,,自行車友善旅宿",車位:小客車0輛、機車0輛、大客車0輛,6,5500,9000,0,mbhotel888@gmail.com,24,0,,,0
C4_A15010000H_000066,朋來觀海民宿,位於澎湖縣的民宿,,澎湖縣白沙鄉講美村講美41之5號,884,澎湖縣,白沙鄉,886-905-969672,,A15010000H,,,,,,,,119.601758,23.629311,4,,,,車位:小客車0輛、機車0輛、大客車0輛,5,2600,4000,0,even813125@gmail.com,12,0,,,0
C4_A15010000H_000071,安德飯店,位於臺東縣的旅館,,臺東縣綠島鄉南寮村漁港路6之1號1-2樓,951,臺東縣,綠島鄉,886-89-672520,886-89-671074,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/18892.jpg?v=20250702,大廳或櫃檯,https://taiwan.taiwanstay.net.tw/twpic/30075.jpg?v=20250702,外觀,https://taiwan.taiwanstay.net.tw/twpic/49464.jpg?v=20250702,房間1,121.473611,22.662393,3,,,,車位:小客車0輛、機車0輛、大客車0輛,5,500,2000,0,,18,0,,,0
C4_A15010000H_000072,瀧德銀旅店,屏東縣府合法民宿字編號：0565號本店 興建2014年 於恆春市區供10位內住宿，民宿週邊3-4室外車位，先到先停。無車位、請停靠 附近公有停車場路邊停車。本店優點7-11 （走路2分）全聯賣場 85度咖啡店 （走路5分）麥當勞 星巴克 恆春老街 古城門 皆可步行10分內抵達。鄰近「恒春夜市」300公尺。晚餐 宵夜 美食區 於中正路及中山路老街。提供 租借機車電動車，及包車、共乘 服務 本店於恒春鎮內一一一一一一一一一一一一一一民宿守則確保房客 能享舒適睡眠 品質請花一點時間 細閱旅店守則。1、禁吸食 管制品 經發現報警。抽 香煙、雪茄、電子煙 移至旅店外，勿在館內使用菸品。2、禁止架設任何非法博弈詐騙任機台 。3、破壞房內物品，以新物品 現價賠償，重大情節 賠償營業損失（20萬）4、如房客 酒醉 或 激進、粗魯、辱罵、威脅 等行為 危害 任何人。報警 請離 滋擾人一方，不退費，參照第3。5、非寵物旅店 恕不入住 寵物 ，導盲犬除外。6、停放車輛位置，請妥善保管物品，車輛若有損失，民宿概不負責。7、本店為 環保旅店 續住房 未每日清掃服務 因應政府提倡環保，將遞減備品及礦泉水的提供。8、非本店消費房客 23點前 請離開旅店。9、最終解釋權于本店。請善待旅店，把旅店當家您就是旅店的家人之一。感謝入住，萬分感謝❤️❤️,,屏東縣恆春鎮中正路232巷15弄2號,946,屏東縣,恆春鎮,886-8-8880201,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/26547.JPG?v=20250702,精緻雙人房,,,,,120.743984,22.006554,4,,,"無線網路,停車場,,,,接送服務,導覽解說,,,自行車友善旅宿",車位:小客車0輛、機車0輛、大客車0輛,3,4200,4800,0,,8,0,,,0
C4_A15010000H_000073,紙飛機青年旅館,位於高雄市的旅館,,高雄市三民區博愛一路287號10樓,807,高雄市,三民區,886-968-500985,,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/269955.jpg?v=20250702,房間內部,,,,,120.300873,22.649068,3,,,"無線網路,國民旅遊卡,自助洗衣(收費),,,,洗衣服務,,",車位:小客車0輛、機車0輛、大客車0輛,13,2000,16000,0,pphosteltw@gmail.com,66,0,,,0
C4_A15010000H_000076,阿里巴巴運動休閒民宿,位於花蓮縣的民宿,,花蓮縣花蓮市主農里中順街132號,970,花蓮縣,花蓮市,886-3-8339715,886-3-8339990,A15010000H,http://www.albb.com,https://taiwan.taiwanstay.net.tw/twpic/296451.jpeg?v=20250702,住宿空間,,,,,121.595928,23.970090,4,,,"導覽解說,,",車位:小客車0輛、機車0輛、大客車0輛,5,3000,5000,0,uu910526tw@yahoo.com.tw,14,0,,,0
C4_A15010000H_000077,悠趣旅店,位於臺北市的旅館,,臺北市松山區長安東路2段219號12樓,105,臺北市,松山區,886-2-27752277,886-2-27710365,A15010000H,,,,,,,,121.544923,25.048338,3,,,,車位:小客車0輛、機車0輛、大客車0輛,27,10000,15000,0,service@urtrip.com.tw,68,0,,,0
C4_A15010000H_000078,新家大飯店,位於臺中市的旅館,,臺中市中區光復路45號1至5樓,400,臺中市,中區,886-4-22262125,886-4-22252006,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/259945.jpg?v=20250702,新家大飯店門口圖片,,,,,120.684779,24.140524,3,,,"無線網路,,,,",車位:小客車0輛、機車0輛、大客車0輛,28,800,2000,0,onlykckc@gmail.com,62,0,,,0
C4_A15010000H_000080,立群花園民宿,位於花蓮縣的民宿,,花蓮縣吉安鄉仁安村南海四街47號,973,花蓮縣,吉安鄉,886-3-8422200,886-3-8422092,A15010000H,,,,,,,,121.595768,23.950736,4,,,,車位:小客車0輛、機車0輛、大客車0輛,5,3200,4500,0,,12,0,,,0
C4_A15010000H_000084,凱悅會館,位於屏東縣的民宿,,屏東縣恆春鎮恆南路11巷2弄11號,946,屏東縣,恆春鎮,886-8-8881426,,A15010000H,http://www.facebook.com/hyattlnn,https://taiwan.taiwanstay.net.tw/twpic/283472.jpg?v=20250702,有陽台，陽台在浴室外面唷!,https://taiwan.taiwanstay.net.tw/twpic/283471.jpg?v=20250702,有陽台，陽台在浴室外面唷!,https://taiwan.taiwanstay.net.tw/twpic/283470.jpg?v=20250702,有陽台，陽台在浴室外面唷!,120.743083,22.001104,4,,,"無線網路,國民旅遊卡,,,,",車位:小客車0輛、機車0輛、大客車0輛,5,2700,4500,1,hyattinn946@gmail.com,18,0,0,0,0
C4_A15010000H_000086,文悅旅棧,位於臺南市的旅館,,臺南市中西區赤崁里忠義路2段132號1-6樓,700,臺南市,中西區,886-6-2225655,886-6-2228058,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/272721.jpg?v=20250702,外觀,https://taiwan.taiwanstay.net.tw/twpic/272722.jpg?v=20250702,大廳,https://taiwan.taiwanstay.net.tw/twpic/272724.jpg?v=20250702,客房,120.203883,22.995424,3,,套房9000;雙人房5800;雙人房6200;,"餐廳,會議場所,有線網路,無線網路,國民旅遊卡,停車場,上網電腦(免費),,,,洗衣服務,,",車位:小客車5輛、機車5輛、大客車0輛,13,4000,12000,0,reservations@cityplace.com.tw,28,0,,,10
C4_A15010000H_000091,台灣精緻商旅,位於高雄市的旅館,,高雄市前金區中華三路189號2至7樓,801,高雄市,前金區,886-7-2166868,886-7-2167858,A15010000H,,https://taiwan.taiwanstay.net.tw/twpic/261209.jpg?v=20250702,旅館外觀,,,,,120.294614,22.632133,3,,,自行車友善旅宿,車位:小客車0輛、機車0輛、大客車0輛,48,4500,7000,0,simplylife79895208@gmail.com,108,0,,,0
C4_A15010000H_000092,拾光悠宿民宿,位於花蓮縣的民宿,,花蓮縣玉里鎮民族街28-3號,981,花蓮縣,玉里鎮,886-953-613851,886-3-8889944,A15010000H,,,,,,,,121.313659,23.335502,4,,,,車位:小客車0輛、機車0輛、大客車0輛,2,6000,6000,0,timehouse28-3@hotmail.com,8,0,0,0,0
